INDEX:198:<ulong>,amplitude:198:<double>,average:198:<double>,change_percentage:198:<double>,close_price:198:<double>,divergence_h_highest:198:<double>,divergence_h_lowest:198:<double>,highest_price:198:<double>,lowest_price:198:<double>,ma10:198:<double>,ma20:198:<double>,ma3:198:<double>,ma30:198:<double>,ma5:198:<double>,ma60:198:<double>,name:198:<string>,nonrest_float_amount:198:<double>,open_price:198:<double>,ticker:198:<string>,trade_date:198:<string>,tradestatus:198:<double>,turnover_amount:198:<double>,turnover_rate:198:<double>,turnover_vol:198:<double>,turnover_vol_ratio:198:<double>
91,5.83,79.87,-1.66,78.65,0,0,82.46,77.8,82.46,78.83,79.59,76.75,80.19,78.66,,0,79.68,300861,2021-09-13,1,211083890.35,1.51,264287000,1.17
92,3.81,78.77,-0.95,77.9,0,0,80.25,77.25,81.49,79.35,78.84,76.88,79.37,78.63,,0,78.69,300861,2021-09-14,1,122931937.22,0.89,156066900,0.73
93,3.94,78.98,2.67,79.98,0,0,80.27,77.2,80.99,79.93,78.84,77,79.33,78.63,,0,77.5,300861,2021-09-15,1,142169511.83,1.03,180002200,0.85
94,6.38,77.24,-5.21,75.81,0,0,80.88,75.78,80.07,80.41,77.9,77.02,78.46,78.48,,0,80.02,300861,2021-09-16,1,372900188.89,2.75,482756600,2.3
95,8.56,81.16,3.75,81.6,0,0,82.97,76.24,79.82,81.13,79.13,77.35,78.79,78.45,,0,76.75,300861,2021-09-22,1,223894356.48,1.57,275882900,1.08
96,4.85,80.56,-0.67,81.05,0,0,82.5,78.54,79.73,81.58,79.49,77.69,79.27,78.42,,0,81.6,300861,2021-09-23,1,169182746.71,1.2,210006900,0.77
97,7.24,81.72,2.76,83.29,0,0,83.65,77.78,79.86,82.08,81.98,78.1,80.35,78.42,,0,80,300861,2021-09-24,1,250038087.56,1.74,305951900,1.17
98,4.55,81.42,-2.97,80.82,0,0,83,79.21,79.92,82.37,81.72,78.38,80.51,78.36,,0,83,300861,2021-09-27,1,181933129.58,1.27,223445300,0.77
99,2.92,81.01,0.64,81.34,0,0,81.9,79.54,80.04,82.11,81.82,78.67,81.62,78.32,,0,79.54,300861,2021-09-28,1,120762983.51,0.85,149075500,0.5
100,5.91,78.67,-5.62,76.77,0,0,81.25,76.44,79.72,81.58,79.64,78.83,80.65,78.26,,0,80.85,300861,2021-09-29,1,110447832.04,0.8,140401100,0.6
101,3.89,77.65,2.07,78.36,0,0,79.48,76.49,79.69,81.07,78.82,79.12,80.12,78.2,,0,77.95,300861,2021-09-30,1,103220798.38,0.76,132935400,0.65
102,4.86,78.15,-1.91,76.86,0,0,80.5,76.69,79.59,80.54,77.33,79.43,78.83,78.15,,0,79.5,300861,2021-10-08,1,85965651.48,0.63,109997600,0.58
103,5.26,76.94,0.39,77.16,1,25,78.78,74.74,79.31,80.15,77.46,79.72,78.1,78.04,,0,76.86,300861,2021-10-11,1,110029522.62,0.81,143000900,0.95
104,6.22,77.59,-1.5,76,2,1,79.9,75.1,79.33,79.7,76.67,80.05,77.03,77.91,,0,77.77,300861,2021-10-12,1,93394830.05,0.69,120371600,0.89
105,8.28,79.92,6.34,80.82,6,1,81.79,75.5,79.25,79.54,77.99,80.5,77.84,77.89,,0,77,300861,2021-10-13,1,208193981.3,1.48,260501100,2.01
106,4.62,82.18,1.27,81.85,20,1,84,80.27,79.33,79.53,79.56,80.83,78.54,77.88,,0,80.83,300861,2021-10-14,1,144029161.73,1,175257100,1.14
107,3.96,82.25,0.07,81.91,1,2,83.48,80.24,79.19,79.52,81.53,81.12,79.55,77.89,,0,81.3,300861,2021-10-15,1,180061714.19,1.25,218923200,1.35
108,4.26,83.62,2.81,84.21,22,1,84.6,81.11,79.53,79.73,82.66,81.43,80.96,78.01,,0,81.88,300861,2021-10-18,1,271957188.16,1.85,325248100,1.77
109,4.14,83.54,-1.19,83.21,24,1,85.49,82,79.72,79.88,83.11,81.31,82.4,78.1,,0,84.28,300861,2021-10-19,1,145978088.97,1,174730600,0.79
110,3.91,84.38,1.02,84.06,25,1,85.77,82.52,80.44,80.08,83.83,81.2,83.05,78.23,,0,83.8,300861,2021-10-20,1,149962679,1.01,177730000,0.77
111,2.74,84.06,-0.57,83.58,1,1,85.48,83.18,80.97,80.33,83.62,81.04,83.39,78.33,,0,84.45,300861,2021-10-21,1,112791387.32,0.76,134174800,0.63
112,3.27,83.35,-1.44,82.38,1,4,84.68,81.95,81.52,80.55,83.34,80.86,83.49,78.42,,0,83.98,300861,2021-10-22,1,95762175.36,0.65,114891200,0.56
113,4.14,84.72,2.94,84.8,3,1,85.68,82.27,82.28,80.79,83.59,80.86,83.61,78.48,,0,82.27,300861,2021-10-25,1,247163263.31,1.66,291746900,1.57
114,4.8,86.75,1.4,85.99,29,1,88.24,84.17,83.28,81.3,84.39,80.89,84.16,78.54,,0,84.46,300861,2021-10-26,1,207184303.91,1.36,238817600,1.34
115,4.06,86.02,0.01,86,1,2,87.5,84.01,83.8,81.52,85.6,80.96,84.55,78.61,,0,85.59,300861,2021-10-27,1,206807143.24,1.37,240405300,1.26
