INDEX:198:<ulong>,amplitude:198:<double>,average:198:<double>,change_percentage:198:<double>,close_price:198:<double>,divergence_h_highest:198:<double>,divergence_h_lowest:198:<double>,highest_price:198:<double>,lowest_price:198:<double>,ma10:198:<double>,ma20:198:<double>,ma3:198:<double>,ma30:198:<double>,ma5:198:<double>,ma60:198:<double>,name:198:<string>,nonrest_float_amount:198:<double>,open_price:198:<double>,ticker:198:<string>,trade_date:198:<string>,tradestatus:198:<double>,turnover_amount:198:<double>,turnover_rate:198:<double>,turnover_vol:198:<double>,turnover_vol_ratio:198:<double>
172,5.32,66.8,2.19,68,0,0,68.66,65.12,69.85,71.71,66.9,72.47,67.41,77.16,,119.379418,67.49,300861,2022-01-17,1,155839716.39,1.33,233276100,1.24
173,4.38,67.08,-2.71,66.16,0,0,68.96,65.98,68.97,71.52,66.9,72.21,66.95,76.85,,116.149152,67.77,300861,2022-01-18,1,109282870.05,0.93,162916900,0.82
174,2.13,65.45,-0.59,65.77,0,0,66.34,64.93,68.22,71.32,66.64,71.95,66.53,76.51,,115.464476,65.56,300861,2022-01-19,1,79251617.98,0.69,121079000,0.73
175,4.14,64.15,-2.46,64.15,0,0,66,63.28,67.53,70.94,65.36,71.65,66.12,76.15,,112.620436,66,300861,2022-01-20,1,95567068.51,0.85,148984300,0.99
176,3.46,63.17,-1.9,62.93,0,0,64.7,62.48,66.66,70.38,64.28,71.33,65.4,75.81,,110.478629,64.15,300861,2022-01-21,1,70399902.46,0.63,111453800,0.73
177,6.31,64.09,4.18,65.56,0,0,65.66,61.69,66.16,69.93,64.21,71.03,64.91,75.52,,115.095804,62.94,300861,2022-01-24,1,115748621.57,1.03,180605500,1.16
178,5.77,63.33,-5.63,61.87,0,0,65.51,61.73,65.51,69.42,63.45,70.63,64.06,75.12,,108.617715,64.96,300861,2022-01-25,1,103701528.04,0.93,163756600,1.13
179,4.06,63.06,1.73,62.94,0,0,64.24,61.73,65.01,68.82,63.46,70.22,63.49,74.77,,110.496185,61.87,300861,2022-01-26,1,92032684.06,0.83,145933200,1.01
180,3.77,63.63,0.16,63.04,0,0,64.82,62.45,64.7,68.2,62.62,69.81,63.27,74.46,,110.671743,63.62,300861,2022-01-27,1,149039800.07,1.33,234235100,1.56
181,5.71,61.72,-1.89,61.85,0,0,63.65,60.05,0,0,0,0,0,0,,108.582603,62.68,300861,2022-01-28,1,124276248.27,1.15,201368100,0
182,10.28,62.69,-2.75,60.15,0,0,66.09,59.73,0,0,0,0,0,0,,105.598118,63.83,300861,2022-02-07,1,344548242.13,3.13,549606000,0
183,5.14,58.93,-1.33,59.35,0,0,60.55,57.46,0,0,0,0,0,0,,104.193654,59.59,300861,2022-02-08,1,195333595.57,1.89,331454800,0
184,5.14,58.78,-0.42,59.1,0,0,60.27,57.22,0,0,0,0,0,0,,103.754759,59.61,300861,2022-02-09,1,190052221.22,1.84,323353500,0
185,4.59,57.46,-2.62,57.55,0,0,59.41,56.7,0,0,0,0,0,0,,101.033611,59.29,300861,2022-02-10,1,169057077.36,1.68,294225000,0
186,5.02,58.62,1.88,58.63,0,0,60.29,57.4,0,0,0,0,0,0,,102.929637,58.16,300861,2022-02-11,1,216596590.4,2.1,369504500,0
187,4.42,58.82,-0.15,58.54,0,0,60.47,57.88,0,0,0,0,0,0,,102.771634,58.63,300861,2022-02-14,1,202773060.9,1.96,344745500,0
188,7.96,61.6,7.21,62.76,0,0,62.98,58.32,0,0,0,0,0,0,,110.180181,58.48,300861,2022-02-15,1,263817186.02,2.44,428241900,0
189,2.8,62.77,1.02,63.4,0,0,63.6,61.84,0,0,0,0,0,0,,111.303752,63.26,300861,2022-02-16,1,172759305.72,1.57,275230300,0
190,4.24,64.32,1.96,64.64,0,0,65.3,62.61,0,0,0,0,0,0,,113.480671,62.97,300861,2022-02-17,1,199612068.07,1.77,310346800,0
191,3.26,64.71,0.37,64.88,0,0,65.39,63.28,0,0,0,0,0,0,,113.90201,65.2,300861,2022-02-18,1,157206838.22,1.38,242947100,0
192,3.3,64.34,-0.63,64.47,0,0,65.64,63.5,0,0,0,0,0,0,,113.182222,65.13,300861,2022-02-21,1,112279384.31,0.99,174505200,0
193,2.42,63.87,-0.62,64.07,0,0,64.65,63.09,0,0,0,0,0,0,,112.47999,63.51,300861,2022-02-22,1,86494072.22,0.77,135422200,0
194,7.32,67.09,5.96,67.89,0,0,68.68,63.99,0,0,0,0,0,0,,119.186304,64.55,300861,2022-02-23,1,303274695.6,2.57,452037500,0
195,7.59,66.48,-3.52,65.5,0,0,68.45,63.3,0,0,0,0,0,0,,114.990469,67.77,300861,2022-02-24,1,268499091.28,2.3,403905600,0
196,3.05,66.36,1.18,66.27,0,0,67.6,65.6,0,0,0,0,0,0,,116.342265,65.98,300861,2022-02-25,1,222017211.58,1.91,334545400,0
197,4.69,67.16,1.13,67.02,0,0,68.13,65.02,0,0,0,0,0,0,,117.65895,66.3,300861,2022-02-28,1,205878306,1.75,306565900,0

